Type,ID,Name,Event
"EAN13","4710094129841","323142 白蘭小蒼蘭洗衣精補充包 1.6kg",""
"EAN13","4710094130724","344273 白蘭香氛洗衣球-質感小蒼蘭 6顆",""
"EAN13","4710094131547","480350 熊寶貝護衣芳香豆藍風鈴 300ml",""
"EAN13","4710094132551","480341 白蘭酵素洗衣球除蹣5入",""
"EAN13","4710094133114","559652 白蘭香氛洗衣球-橙淨玫瑰6顆",""
"EAN13","4710094135873","338843 白蘭香氛洗衣球-純淨白麝香6顆",""
"EAN13","4710098905083","589010 歐維氏 85%醇黑巧克力",""
"EAN13","4710104027716","368368 （1袋)舒敏厚棒袖珍面紙20入",""
"EAN13","4710105094359","400813 蠟筆小新可可奶茶TP200",""
"EAN13","4710105094458","526992 布丁狗布丁風味牛乳TP200",""
"EAN13","4710105094465","526814 櫻桃小丸子青蘋果牛乳TP200",""
"EAN13","4710110223560","141110 多喝水鹼性竹炭水PET700",""
"EAN13","4710110232418","385537 多喝水微鹼性竹炭離子水PET850",""
"EAN13","4710110236980","929380 味味一品麻辣臭豆腐麵",""
"EAN13","4710110237710","467908 雙響泡沙茶鍋燒湯麵",""
"EAN13","4710110237871","530009 味味A紅燒牛肉湯麵",""
"EAN13","4710110237895","529060 味味A香辣海鮮湯麵",""
"EAN13","4710110238274","575176 随緣紅燒嫩菇湯麵",""
"EAN13","4710110238298","428357 隨緣沙茶豆腐湯麵",""
"EAN13","4710110238311","575161 雙響泡府城擔仔湯麵",""
"EAN13","4710110238403","354510 多喝水STAYCOOL礦物強氣泡PET560",""
"EAN13","4710110805476","576889 Mountain Dew激浪汽水PET500",""
"EAN13","4710110812252","380640 味丹心茶道冬瓜茶 PET560",""
"EAN13","4710114814795","562446 舒潔優質抽取衛生紙90抽",""
"EAN13","4710114817604","400142 舒潔雲絨舒適抽取式衛生紙90抽",""
"EAN13","4710114818342","537558 舒潔女性專用濕式衛生紙14 抽",""
"EAN13","4710114841043","348749 舒潔濕式面紙10抽",""
"EAN13","4710114841999","351140 舒潔舒涼冰巾18抽",""
"EAN13","4710126021396","410823 義美牛奶小泡芙（盒裝）",""
"EAN13","4710126021402","410836 義美巧克力小泡芙(盒装）",""
"EAN13","4710126025837","590701 義美小泡芙(草莓)57g",""
